Date,Open,High,Low,Close
19460723,17.389999,17.389999,17.389999,17.389999
19460724,17.41,17.41,17.41,17.41
19460725,17.5,17.5,17.5,17.5
19460726,17.6,17.6,17.6,17.6
19460729,17.66,17.66,17.66,17.66
19460730,17.76,17.76,17.76,17.76
19460731,17.959999,17.959999,17.959999,17.959999
19460801,18.01,18.01,18.01,18.01
19460802,18.02,18.02,18.02,18.02
19460805,17.91,17.91,17.91,17.91
19460806,17.860001,17.860001,17.860001,17.860001
19460807,18.030001,18.030001,18.030001,18.030001
19460808,18.110001,18.110001,18.110001,18.110001
19460809,18.049999,18.049999,18.049999,18.049999
19460812,18.08,18.08,18.08,18.08
19460813,18.23,18.23,18.23,18.23
19460814,18.200001,18.200001,18.200001,18.200001
19460815,17.99,17.99,17.99,17.99
19460816,17.84,17.84,17.84,17.84
19460819,17.809999,17.809999,17.809999,17.809999
19460820,17.91,17.91,17.91,17.91
19460821,17.74,17.74,17.74,17.74
19460822,17.559999,17.559999,17.559999,17.559999
19460823,17.58,17.58,17.58,17.58
19460826,17.469999,17.469999,17.469999,17.469999
19460827,16.92,16.92,16.92,16.92
19460828,16.73,16.73,16.73,16.73
19460829,16.76,16.76,16.76,16.76
19460830,16.65,16.65,16.65,16.65
19460903,15.0,15.0,15.0,15.0
19460904,15.46,15.46,15.46,15.46
19460905,15.99,15.99,15.99,15.99
19460906,15.84,15.84,15.84,15.84
19460909,15.01,15.01,15.01,15.01
19460910,14.59,14.59,14.59,14.59
19460911,15.05,15.05,15.05,15.05
19460912,15.02,15.02,15.02,15.02
19460913,15.31,15.31,15.31,15.31
19460916,15.4,15.4,15.4,15.4
19460917,15.28,15.28,15.28,15.28
19460918,14.8,14.8,14.8,14.8
19460919,14.33,14.33,14.33,14.33
19460920,14.69,14.69,14.69,14.69
19460923,14.41,14.41,14.41,14.41
19460924,14.72,14.72,14.72,14.72
19460925,15.1,15.1,15.1,15.1
19460926,15.27,15.27,15.27,15.27
19460927,15.11,15.11,15.11,15.11
19460930,14.96,14.96,14.96,14.96
19461001,14.92,14.92,14.92,14.92
19461002,15.0,15.0,15.0,15.0
19461003,14.98,14.98,14.98,14.98
19461004,14.81,14.81,14.81,14.81
19461007,14.7,14.7,14.7,14.7
19461008,14.53,14.53,14.53,14.53
19461009,14.12,14.12,14.12,14.12
19461010,14.33,14.33,14.33,14.33
19461011,14.63,14.63,14.63,14.63
19461014,14.71,14.71,14.71,14.71
19461015,15.3,15.3,15.3,15.3
19461016,15.24,15.24,15.24,15.24
19461017,15.01,15.01,15.01,15.01
19461018,14.97,14.97,14.97,14.97
19461021,15.0,15.0,15.0,15.0
19461022,14.88,14.88,14.88,14.88
19461023,14.77,14.77,14.77,14.77
19461024,14.78,14.78,14.78,14.78
19461025,14.7,14.7,14.7,14.7
19461028,14.39,14.39,14.39,14.39
19461029,14.26,14.26,14.26,14.26
19461030,14.32,14.32,14.32,14.32
19461031,14.84,14.84,14.84,14.84
19461101,15.07,15.07,15.07,15.07
19461104,15.33,15.33,15.33,15.33
19461106,14.67,14.67,14.67,14.67
19461107,14.79,14.79,14.79,14.79
19461108,14.85,14.85,14.85,14.85
19461112,14.94,14.94,14.94,14.94
19461113,14.81,14.81,14.81,14.81
19461114,14.89,14.89,14.89,14.89
19461115,14.73,14.73,14.73,14.73
19461118,14.58,14.58,14.58,14.58
19461119,14.57,14.57,14.57,14.57
19461120,14.46,14.46,14.46,14.46
19461121,14.21,14.21,14.21,14.21
19461122,14.13,14.13,14.13,14.13
19461125,14.31,14.31,14.31,14.31
19461126,14.45,14.45,14.45,14.45
19461127,14.55,14.55,14.55,14.55
19461129,14.68,14.68,14.68,14.68
19461202,14.44,14.44,14.44,14.44
19461203,14.49,14.49,14.49,14.49
19461204,14.72,14.72,14.72,14.72
